Year,Month,Food,Fuel & Light,Housing,Clothing,Medical Care,"Education, Recreation & Amusement",Transport & Communication
2011,Jan,190,171,164,143,146,175,161
2011,Feb,181,171,164,148,146,175,161
2011,Mar,178,172,164,150,146,175,161
2011,Apr,184,171,164,152,146,175,161
2011,May,184,171,164,152,147,175,163
2011,June,185,174,164,152,147,175,164
2011,July,190,184,170,159,151,175,165
2011,Aug,191,184,170,159,151,175,165
2011,Sept,198,194,170,160,151,175,167
2011,Oct,202,194,170,160,151,175,168
2011,Nov,197,194,170,162,152,175,168
2011,Dec,,,,,,,
2012,Jan,188,196,172,177,193,177,168
2012,Feb,191,196,172,176,194,177,168
2012,Mar,198,196,172,174,194,177,168
2012,Apr,203,196,172,174,193,177,168
2012,May,204,196,172,176,197,177,169
2012,June,202,196,172,180,197,178,171
2012,July,210,205,178,182,198,179,170
2012,Aug,213,205,178,182,198,181,170
2012,Sept,217,209,178,182,200,181,170
2012,Oct, 217, 214, 178, 182, 200, 181, 169
2012,Nov, 215, 215, 178, 184, 201, 181, 170
2012,Dec, 216, 214, 178, 184, 227, 181, 169
2013,Jan,214,215,187,186,230,181,170
2013,Feb,216,215,187,186,230,182,171
2013,Mar,218, 217, 187, 192, 238,182,181
2013,Apr,222,218,187,192,237,180,180
2013,May,  214, 220,187,192,237,147,178
2013,June,219,220,187,192,239,147, 180
2013,July,  233,221,192,192,  239,  147,  182
2013,Aug,243,  220,192,192,  236,148,  184
2013,Sept,245,  223,192,190,236,160,  186
2013,Oct, 248, 223,192,188, 237,161,185
2013,Nov,256,223,192,190,237,161,184
2013,Dec,240,223,192,191,225,161,184
2014,Jan,233,229,199,195,228,180,186
2014,Feb,229,229,199,195,230,180,186
2014,Mar,232 , 229,199 ,194 , 230, 180, 186
2014,Apr,242 , 229,199 , 196, 230, 180,186 
2014,May, 237, 265,199,196,230,180 , 185
2014,June, 243,265 ,199 ,196 ,230 ,180 , 185
2014,July,257 ,265 , 204,196 ,230 ,180 ,187 
2014,Aug,256 , 265,204 ,202 ,218 , 180,187 
2014,Sept, 256, 265, 204, 202, 218, 181, 185
2014,Oct, 258, 265, 204, 200, 218, 181, 184
2014,Nov, 254, 266, 204, 201, 221, 181, 183
2014,Dec, 249, 266, 204, 201, 232, 182, 182
2015,Jan,248,266,209,201,232,185,181
2015,Feb,247,266,209,201,232,185,179
2015,Mar,256,211,209,207,233,185,180
2015,Apr,257,211,209,207,233,185,180
2015,May,264,211,209,208,234,185,183
2015,June,262,211,209,209,234,185,184
2015,July,266,212,215,210,234,186,184
2015,Aug,273,214,215,210,236,190,184
2015,Sept,277,214,215,210,236,190,182
2015,Oct,279,214,215,208,237,190,182
2015,Nov,279,214,215,211,237,192,182
2015,Dec,274,215,215,211,247,192,182
2016,Jan,267,215,224,211,249,192,183
2016,Feb,262,215,224,211,249,192,183
2016,Mar,265,215,224,211,248,194,182
2016,Apr,273,215,224,211,248,194,183
2016,May,  274,  215,  224,215,248,194,  184
2016,June, 278,215,224,215, 248,194, 186
2016,July, 291, 215, 230, 217, 253, 195, 190
2016,Aug, 288, 216, 230, 217, 249, 195, 195
2016,Sept,289,216,230,219,246,195,196
2016,Oct,288,217,230,217,246,195,197
2016,Nov, 286, 218, 230, 223, 246, 195, 198
2016,Dec,,,,,,,
2017,Jan,276,218,236,223,246,195,200
2017,Feb, 275,219,236,225,248,195, 200
2017,Mar,276,219,236,225,248,196,200
2017,Apr,280,220,236,225,248,196,198
2017,May,281,221,  236,225,248,196,198
2017,June,282,221,236,227,248,196,198
2017,July,298,232,243,233,248,196,197
2017,Aug,301,232,243,233,248,196,199
2017,Sept,298,229,243,236,248,196,199
2017,Oct,297,231,243,233, 246,195, 198
2017,Nov,300,232,243,234,247,195,198
2017,Dec,298,233,243,235,235,195,202
2018,Jan,296,233,268,235,235,195,203
2018,Feb,290,239,268,243,238,195,204
2018,Mar,287,238,268,245,238,195,204
2018,Apr,286,237,268,244,238,195,205
2018,May,285,237,268,244,238,195,206
2018,June,288,238,268,244,238,195,206
2018,July,293,239,340,244,238,195,206
2018,Aug,298,239,340,252,240,195,207
2018,Sept,302,239,340,252,240,195,209
2018,Oct,301,240,340,250,240,195,209
2018,Nov,295,241,340,250,240,195,206
2018,Dec,290,240,340,250,260,195,203
2019,Jan,288,239,393,250,260,195,203
2019,Feb,289,238,393,250,260,195,203
2019,Mar,298,239,393,250,260,195,204
2019,Apr,303,239,393,253,260,195,204
2019,May,306,237,393,254,262,196,208
2019,June,308,238,393,253,264,196,207
2019,July,312,237,409,253,264,196,209
2019,Aug,312,238,409,255,265,198,209
2019,Sept,319,238,409,255,265,198,209
2019,Oct,325,156,409,252,265,201,209
2019,Nov,323,168,409,252,265,201,209
2019,Dec,327,170,409,253,280,201,210
2020,Jan,327,171,420,253,281,201,215
2020,Feb,320,173,420,256,284,201,214
2020,Mar,320,175,420,256,284,201,213
2020,Apr,329,177,420,256,284,201,212
2020,May, 322, 177, 420, 256, 284, 201, 213
2020,June, 316, 180, 420, 256, 284, 201, 216
2020,July, 326, 180, 423, 256, 284, 201, 218
2020,Aug, 327, 180, 423, 256, 284, 201, 218
2020,Sept,344,361,326,338,348,335,341
2020,Oct,354.24,364.032,326.88,338.112,350.496,336.096,342.432
2020,Nov,355.968,365.184,326.88,338.112,350.784,336.096,343.008
2020,Dec,344.736,381.312,326.88,338.688,351.936,336.384,345.312
2021,Jan,338,392.832,331.776,339.264,333.792,336.096,347.616
2021,Feb,339.552,408.96,331.776,340.992,334.656,336.384,352.224
2021,Mar,339.84,429.696,331.776,341.856,336.672,336.384,355.104
2021,Apr,343.008,428.256,331.776,342.72,337.536,336.384,355.392
2021,May,345.6,428.832,331.776,342.72,337.536,336.384,357.984
2021,June,350.784,430.848,331.776,345.888,339.84,336.672,363.744
2021,July,352.512,437.76,336.384,347.904,343.008,336.96,371.808
2021,Aug,352.224,440.928,336.384,348.48,343.584,336.96,373.248
2021,Sept,352.512,451.872,336.384,349.92,345.888,337.248,373.536
2021,Oct,362.016,455.904,336.384,349.92,346.176,337.248,378.432
2021,Nov,368.064,453.024,336.384,351.36,349.344,337.536,376.992
2021,Dec,365.184,454.176,336.384,351.36,346.176,337.536,377.568
